,date,max speed
1,9/1/2017,24.77
2,9/2/2017,24.16
3,9/3/2017,20.49
4,9/4/2017,46.89
5,9/5/2017,39.59
6,9/6/2017,17.05
7,9/7/2017,16.63
8,9/8/2017,20.35
9,9/9/2017,27.12
10,9/10/2017,24.95
11,9/11/2017,25.56
12,9/12/2017,14.65
13,9/13/2017,22.73
14,9/14/2017,26.92
15,9/15/2017,25.61
16,9/16/2017,34.33
17,9/17/2017,22.08
18,9/18/2017,22.01
19,9/19/2017,35.18
20,9/20/2017,37.04
21,9/21/2017,23.6
22,9/22/2017,30.38
23,9/23/2017,22.99
24,9/24/2017,29.75
25,9/25/2017,18.05
26,9/26/2017,22.49
27,9/27/2017,17.3
28,9/28/2017,21.72
29,9/29/2017,16.78
30,9/30/2017,25.35
31,10/20/2017,33.68
32,10/21/2017,35.3
33,10/22/2017,21.73
34,10/23/2017,20.96
35,10/24/2017,41.38
36,10/25/2017,19.02
37,10/26/2017,32.14
38,10/27/2017,35.25
39,10/28/2017,24.48
40,10/29/2017,24.83
41,10/30/2017,36.6
42,10/31/2017,24.47
43,11/1/2017,25.94
44,11/2/2017,20.08
45,11/3/2017,14.02
46,11/4/2017,21.57
47,11/5/2017,26.91
48,11/6/2017,12.46
49,11/7/2017,15.22
50,11/8/2017,22.69
51,11/9/2017,31.12
52,11/10/2017,31.05
53,11/11/2017,24.5
54,11/12/2017,14
55,11/13/2017,27.68
56,11/14/2017,18.25
57,11/15/2017,31.55
58,11/16/2017,25.91
59,11/17/2017,34.88
60,11/18/2017,32.72
61,11/19/2017,21.29
62,11/20/2017,21.87
63,11/21/2017,38.76
64,11/22/2017,19.71
65,11/23/2017,18.3
66,11/24/2017,32.38
67,11/25/2017,23.58
68,11/26/2017,20.52
69,11/27/2017,4.091
70,11/28/2017,35.99
71,11/29/2017,27
72,11/30/2017,37.55
73,12/1/2017,21.98
74,12/2/2017,9.98
75,12/3/2017,21.91
76,12/4/2017,44.4
77,12/5/2017,37.95
78,12/6/2017,27.55
79,12/7/2017,24.02
80,12/8/2017,26.97
81,12/9/2017,29.61
82,12/10/2017,18.19
83,12/11/2017,34.49
84,12/12/2017,23.28
85,12/13/2017,30.75
86,12/14/2017,24.03
87,12/15/2017,18.94
88,12/16/2017,12.85
89,12/17/2017,10.08
90,12/18/2017,17.79
91,12/19/2017,28.8
92,12/20/2017,18.18
93,12/21/2017,18.85
94,12/22/2017,17.36
95,12/23/2017,21.55
96,12/24/2017,22.35
97,12/25/2017,25.45
98,12/26/2017,17.15
99,12/27/2017,17.15
100,12/28/2017,22.18
101,12/29/2017,22.5
102,12/30/2017,24.2
103,12/31/2017,17.32
104,1/1/2018,16.95
105,1/2/2018,25.61
106,1/3/2018,25.13
107,1/4/2018,11.17
108,1/5/2018,12.27
109,1/6/2018,34.34
110,1/7/2018,29.54
111,1/8/2018,5.401
112,1/9/2018,31.02
113,1/10/2018,30.08
114,1/11/2018,30.33
115,1/12/2018,24.26
116,1/13/2018,13.74
117,1/14/2018,25.08
118,1/15/2018,29.8
119,1/16/2018,17.15
120,1/17/2018,23.89
121,1/18/2018,20.42
122,1/19/2018,18.16
123,1/20/2018,10.57
124,1/21/2018,14.75
125,1/22/2018,33.7
126,1/23/2018,26.76
127,1/24/2018,13.91
128,1/25/2018,20.84
129,1/26/2018,31.58
130,1/27/2018,26.53
131,1/28/2018,15.71
132,1/29/2018,12.96
133,1/30/2018,34.78
134,1/31/2018,30.59
135,2/1/2018,30.93
136,2/2/2018,15.4
137,2/3/2018,26.98
138,2/4/2018,29.8
139,2/5/2018,18.42
140,2/6/2018,16.37
141,2/7/2018,14.78
142,2/8/2018,12.62
143,2/9/2018,22.31
144,2/10/2018,14.5
145,2/11/2018,23.89
146,2/12/2018,11.12
147,2/13/2018,24.4
148,2/14/2018,21.31
149,2/15/2018,26.59
150,2/16/2018,31.36
151,2/27/2018,13.12
152,2/28/2018,9.8
153,3/1/2018,17.24
154,3/2/2018,13.85
155,3/3/2018,36.35
156,3/4/2018,31.97
157,3/5/2018,40.09
158,3/6/2018,28.94
159,3/7/2018,20.29
160,3/8/2018,13.85
161,3/9/2018,11.06
162,3/10/2018,16.13
163,3/11/2018,8.36
164,3/12/2018,28.13
165,3/13/2018,22.57
166,3/14/2018,17.09
167,3/15/2018,20.42
168,3/16/2018,21.14
169,3/17/2018,11.39
170,3/18/2018,10.69
171,3/19/2018,15.42
172,3/20/2018,15.42
173,3/21/2018,9.35
174,3/22/2018,16.5
175,3/23/2018,27.31
176,3/24/2018,17.29
177,3/25/2018,28.88
178,3/26/2018,31.43
179,3/27/2018,20.81
180,3/28/2018,32.74
181,3/29/2018,22.95
182,3/30/2018,20.71
183,3/31/2018,35.16
184,4/1/2018,18.94
185,4/2/2018,14.57
186,4/3/2018,28.82
187,4/4/2018,18.94
